OffspringID,MotherID,FatherID,FamilyID,,,,,,Family
G1T1701_149_002_F1_G,G1T1701_BR_054_P,G1T1701_BR_017_P,G1T1701_BR_054_P__G1T1701_BR_017_P,,,,,,
G1T1701_149_002_F10_G,G1T1701_BR_360_MP,G1T1701_BR_318_MP,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,,
G1T1701_149_002_F11_G,G1T1701_BR_053_GP,G1T1701_BR_005_P,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,,
G1T1701_149_002_F12_G,G1T1701_BR_166_MP,G1T1701_BR_263_MP,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,,
G1T1701_149_002_F3_G,G1T1701_BR_062_P,G1T1701_BR_023_P,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,,
G1T1701_149_002_F4_G,G1T1701_BR_062_P,G1T1701_BR_024_P,G1T1701_BR_062_P__G1T1701_BR_024_P,,,,,,
G1T1701_149_002_F5_G,G1T1701_BR_139_MP,G1T1701_BR_042_P,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,,
G1T1701_149_002_F6_G,G1T1701_BR_095_MP,G1T1701_BR_445_MP,G1T1701_BR_095_MP__G1T1701_BR_445_MP,,,,,,
G1T1701_149_002_F8_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,
G1T1701_149_002_F9_G,G1T1701_BR_053_GP,G1T1701_BR_006_P,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,,
G1T1701_149_002_G1_G,G1T1701_BR_062_P,G1T1701_BR_024_P,G1T1701_BR_062_P__G1T1701_BR_024_P,,,,,,
G1T1701_149_002_G10_G,G1T1701_BR_139_MP,G1T1701_BR_042_P,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,,
G1T1701_149_002_G11_G,G1T1701_BR_113_MP,G1T1701_BR_262_MP,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,,
G1T1701_149_002_G3_G,G1T1701_BR_131_M,G1T1701_BR_262_MP,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,
G1T1701_149_002_G4_G,G1T1701_BR_134_MP,G1T1701_BR_444_MP,G1T1701_BR_134_MP__G1T1701_BR_444_MP,,,,,,
