Broodstock ID,ARC Hub Tube Label,ARC determined genotype,GAVcopies/ng,GAV copies/ug,lgGAV
206,G1T1701_BR010,G1T1701_BR_010_P,45.02,45019.38,4.65
207,G1T1701_BR341,G1T1701_BR_324_MP,46.12,46124.04,4.66
208,G1T1701_BR045,G1T1701_BR_056_P,46.34,46344.21,4.67
209,G1T1701_BR131,G1T1701_BR_051_P,47.49,47487.69,4.68
210,G1T1701_BR216,G1T1701_BR_199_MP,48.85,48847.93,4.69
211,G1T1701_BR324,G1T1701_BR_307_MP,50.67,50672.91,4.70
212,G1T1701_BR339,G1T1701_BR_322_MP,52.30,52301.03,4.72
213,G1T1701_BR266,G1T1701_BR_249_MP,53.35,53346.27,4.73
214,G1T1701_BR306,G1T1701_BR_289_MP,54.77,54769.89,4.74
215,G1T1701_BR133,G1T1701_BR_071_P,55.13,55128.72,4.74
216,G1T1701_BR255,G1T1701_BR_238_MP,55.37,55372.98,4.74
217,G1T1701_BR410,G1T1701_BR_388_MP,55.95,55951.16,4.75
218,G1T1701_BR312,not in dart analysis,58.39,58386.78,4.77
219,G1T1701_BR350,G1T1701_BR_333_M,58.58,58578.31,4.77
220,G1T1701_BR084,G1T1701_BR_053_GP,60.21,60211.17,4.78
221,G1T1701_BR286,not in dart analysis,61.85,61852.52,4.79
222,G1T1701_BR122,G1T1701_BR_111_MP,62.02,62022.72,4.79
223,G1T1701_BR086,G1T1701_BR_082_MP,62.75,62752.20,4.80
224,G1T1701_BR135,G1T1701_BR_070_P,63.23,63227.86,4.80
225,G1T1701_BR044,G1T1701_BR_075_MP,63.72,63720.51,4.80
226,G1T1701_BR403,G1T1701_BR_381_MP,64.35,64346.27,4.81
227,G1T1701_BR325,not in dart analysis,67.20,67198.96,4.83
228,G1T1701_BR245,G1T1701_BR_228_MP,73.86,73856.72,4.87
229,G1T1701_BR399,G1T1701_BR_377_MP,76.03,76034.00,4.88
230,G1T1701_BR343,G1T1701_BR_326_MP,76.56,76559.89,4.88
231,G1T1701_BR331,not in dart analysis,81.97,81974.22,4.91
232,G1T1701_BR344,G1T1701_BR_327_MP,83.26,83264.20,4.92
233,G1T1701_BR265,not in dart analysis,88.13,88131.17,4.95
234,G1T1701_BR015,G1T1701_BR_015_P,88.14,88143.08,4.95
