Cohort,FamilyID,ID,class,logGAV
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
201604,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_BR_037_P,Mother,3.298823777
