Cohort,IntFamID,FamilyID,ID,class,LogGAV
201701,63,G1T1701_BR_068_P__G1T1701_BR_017_P,G1T1701_149_002_A11_G,Offspring,2.33
201701,63,G1T1701_BR_068_P__G1T1701_BR_017_P,G1T1701_149_002_E8_G,Offspring,2.54
201701,63,G1T1701_BR_068_P__G1T1701_BR_017_P,G1T1701_149_002_F1_G,Offspring,2.52
201701,63,G1T1701_BR_068_P__G1T1701_BR_017_P,G1T1701_149_003_F2_G,Offspring,4.35
201701,63,G1T1701_BR_068_P__G1T1701_BR_017_P,G1T1701_149_003_F5_G,Offspring,0
201701,63,G1T1701_BR_068_P__G1T1701_BR_017_P,G1T1701_149_005_G10_G,Offspring,5.09
201701,63,G1T1701_BR_068_P__G1T1701_BR_017_P,G1T1701_149_005_G11_G,Offspring,5.65
201701,64,G1T1701_BR_090_M__G1T1701_BR_022_P,G1T1701_149_004_E3_G,Offspring,0
201701,64,G1T1701_BR_090_M__G1T1701_BR_022_P,G1T1701_149_005_C5_G,Offspring,1.57
201701,66,G1T1701_BR_103_MP__G1T1701_BR_014_P,G1T1701_149_001_B12_G,Offspring,0
201701,66,G1T1701_BR_103_MP__G1T1701_BR_014_P,G1T1701_149_001_C8_G,Offspring,1.03
201701,66,G1T1701_BR_103_MP__G1T1701_BR_014_P,G1T1701_149_003_C7_G,Offspring,3.52
201701,66,G1T1701_BR_103_MP__G1T1701_BR_014_P,G1T1701_149_003_D1_G,Offspring,3.77
201701,67,G1T1701_BR_112_MP__G1T1701_BR_002_P,G1T1701_149_001_B1_G,Offspring,0
201701,67,G1T1701_BR_112_MP__G1T1701_BR_002_P,G1T1701_149_001_B5_G,Offspring,1.14
