Cohort,AnimalID,Class,GAV,Code,Type,FamilyID,IntFamID
201604,201604BR103,Mother,3.41,BR,BR,B1_021,35
201602,201602BR069,Mother,2.2,BR,BR,B3_015,36
201602,201602BR035,Mother,1.84,BR,BR,B3_003,37
G1T1701,G1T1701_BR_023_P,Mother,3.48,BR,BR,G1T1701_BR_182_MP__G1T1701_BR_023_P,38
201604,201604BR084,Mother,3.05,BR,BR,B1_019,39
201604,201604BR021,Mother,3.01,BR,BR,B2_004,40
201604,201604BR047,Mother,3.95,BR,BR,B1_008,41
201604,201604BR071,Mother,3.5,BR,BR,B2_016,42
G1T1701,G1T1701_BR_263_MP,Mother,NA,BR,BR,G1T1701_BR_166_MP__G1T1701_BR_263_MP,43
201604,201604BR074,Mother,4.09,BR,BR,B2_009,44
201602,201602BR018,Mother,NA,BR,BR,B3_029,45
201604,201604BR062,Mother,3.06,BR,BR,B2_002,46
G1T1701,G1T1701_BR_002_P,Mother,3.35,BR,BR,G1T1701_BR_048_P__G1T1701_BR_002_P,47
201604,201604BR020,Mother,3.51,BR,BR,B1_005,48
201604,201604BR431,Mother,0,BR,BR,B1_030,49
201604,201604BR458,Mother,1.31,BR,BR,B1_034,50
G1T1701,G1T1701_BR_003_P,Mother,3.37,BR,BR,G1T1701_BR_049_GP__G1T1701_BR_003_P,51
G1T1701,G1T1701_BR_318_MP,Mother,5.23,BR,BR,G1T1701_BR_360_MP__G1T1701_BR_318_MP,52
201604,201604BR054,Mother,3.26,BR,BR,B1_010,53
201604,201604BR074,Mother,4.09,BR,BR,B1_016,54
201602,201602BR075,Mother,2.43,BR,BR,B3_017,55
G1T1701,G1T1701_BR_001_P,Mother,3.65,BR,BR,G1T1701_BR_048_P__G1T1701_BR_001_P,56
201604,201604BR116,Mother,0,BR,BR,B1_023,57
G1T1701,G1T1701_BR_037_P,Mother,3.3,BR,BR,G1T1701_BR_067_GP__G1T1701_BR_037_P,58
201604,201604BR515,Mother,1.58,BR,BR,B1_037,59
201602,201602BR055,Mother,1.63,BR,BR,B3_010,60
201602,201602BR066,Mother,3.32,BR,BR,B3_014,61
G1T1701,G1T1701_BR_002_P,Mother,3.35,BR,BR,G1T1701_BR_112_MP__G1T1701_BR_002_P,62
201604,201604BR014,Mother,3.49,BR,BR,B1_003,63
G1T1701,G1T1701_BR_042_P,Mother,4.07,BR,BR,G1T1701_BR_139_MP__G1T1701_BR_042_P,64
201604,201604BR399,Mother,3.9,BR,BR,B1_025,65
201604,201604BR119,Mother,4,BR,BR,B2_008,66
201604,201604BR427,Mother,0,BR,BR,B2_012,67
G1T1701,G1T1701_BR_006_P,Mother,3.47,BR,BR,G1T1701_BR_053_GP__G1T1701_BR_006_P,68
G1T1701,G1T1701_BR_024_P,Mother,3.98,BR,BR,G1T1701_BR_182_MP__G1T1701_BR_024_P,69
201602,201602BR031,Mother,0,BR,BR,B3_023,70
G1T1701,G1T1701_BR_324_MP,Mother,NA,BR,BR,G1T1701_BR_119_MP__G1T1701_BR_324_MP,71
201602,201602BR039,Mother,2.98,BR,BR,B3_006,72
G1T1701,G1T1701_BR_005_P,Mother,0,BR,BR,G1T1701_BR_053_GP__G1T1701_BR_005_P,73
G1T1701,G1T1701_BR_262_MP,Mother,6.03,BR,BR,G1T1701_BR_113_MP__G1T1701_BR_262_MP,74
G1T1701,G1T1701_BR_444_MP,Mother,NA,BR,BR,G1T1701_BR_159_MP__G1T1701_BR_444_MP,75
G1T1701,G1T1701_BR_025_P,Mother,NA,BR,BR,G1T1701_BR_401_MP__G1T1701_BR_025_P,76
G1T1701,G1T1701_BR_038_P,Mother,NA,BR,BR,G1T1701_BR_067_GP__G1T1701_BR_038_P,77
G1T1701,G1T1701_BR_444_MP,Mother,NA,BR,BR,G1T1701_BR_134_MP__G1T1701_BR_444_MP,78
201604,201604BR414,Mother,4.18,BR,BR,B1_027,79
G1T1701,G1T1701_BR_012_P,Mother,3.79,BR,BR,G1T1701_BR_103_MP__G1T1701_BR_012_P,80
G1T1701,G1T1701_BR_015_P,Mother,4.95,BR,BR,G1T1701_BR_119_MP__G1T1701_BR_015_P,81
G1T1701,G1T1701_BR_251_MP,Mother,6.43,BR,BR,G1T1701_BR_123_MP__G1T1701_BR_251_MP,82
G1T1701,G1T1701_BR_014_P,Mother,3.59,BR,BR,G1T1701_BR_103_MP__G1T1701_BR_014_P,83
G1T1701,G1T1701_BR_428_MP,Mother,5.45,BR,BR,G1T1701_BR_211_MP__G1T1701_BR_428_MP,84
G1T1701,G1T1701_BR_001_P,Mother,3.65,BR,BR,G1T1701_BR_049_GP__G1T1701_BR_001_P,85
