Cohort,SampleID,GAV,Class,Code,Type,FamilyID,IntFamID,,,,,,,,sample ID,GAV
201602,142_001_B12_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_126,7.15
201602,142_001_B2_G,NA,Offspring,142,pond,B3_009,28,,,,,,,,RC9_127,6.41
201602,142_001_B3_G,NA,Offspring,142,pond,B3_015,35,,,,,,,,RC9_135,6.77
201602,142_001_B5_G,NA,Offspring,142,pond,B3_009,28,,,,,,,,RC9_148,6.72
201602,142_001_B6_G,NA,Offspring,142,pond,B3_016,16,,,,,,,,RC9_150,6.82
201602,142_001_B7_G,NA,Offspring,142,pond,B3_005,26,,,,,,,,RC9_159,7.41
201602,142_001_C1_G,NA,Offspring,142,pond,B3_005,26,,,,,,,,RC9_163,7.27
201602,142_001_C10_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_167,6.88
201602,142_001_C12_G,NA,Offspring,142,pond,B3_009,28,,,,,,,,RC9_173,6.7
201602,142_001_C2_G,NA,Offspring,142,pond,B3_005,26,,,,,,,,RC9_174,7.14
201602,142_001_C3_G,NA,Offspring,142,pond,B3_017,53,,,,,,,,RC9_177,7.84
201602,142_001_C4_G,NA,Offspring,142,pond,B3_007,18,,,,,,,,RC9_182,6.92
201602,142_001_C5_G,NA,Offspring,142,pond,B3_019,19,,,,,,,,RC9_186,7.17
201602,142_001_C8_G,NA,Offspring,142,pond,B3_013,9,,,,,,,,RC9_188,7
201602,142_001_D1_G,NA,Offspring,142,pond,B3_012,3,,,,,,,,RC9_203,6.63
201602,142_001_D10_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_212,6.73
201602,142_001_D12_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_217,7.59
201602,142_001_D2_G,NA,Offspring,142,pond,B3_020,7,,,,,,,,RC9_233,7.65
201602,142_001_D4_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_253,7.66
201602,142_001_D5_G,NA,Offspring,142,pond,B3_012,3,,,,,,,,RC9_254,6.53
201602,142_001_D6_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_260,6.59
201602,142_001_E1_G,NA,Offspring,142,pond,B3_005,26,,,,,,,,RC9_313,NA
201602,142_001_E10_G,NA,Offspring,142,pond,B3_020,7,,,,,,,,RC9_314,NA
201602,142_001_E12_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_325,NA
201602,142_001_E3_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_343,NA
201602,142_001_E4_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_354,NA
201602,142_001_E6_G,NA,Offspring,142,pond,B3_013,9,,,,,,,,RC9_364,NA
201602,142_001_E7_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_379,NA
201602,142_001_F1_G,NA,Offspring,142,pond,B3_020,7,,,,,,,,RC9_384,NA
201602,142_001_F10_G,NA,Offspring,142,pond,B3_016,16,,,,,,,,RC9_388,NA
201602,142_001_F2_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_397,NA
201602,142_001_F3_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_421,NA
201602,142_001_F4_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_441,NA
201602,142_001_F5_G,NA,Offspring,142,pond,B3_020,7,,,,,,,,RC9_456,NA
201602,142_001_F6_G,NA,Offspring,142,pond,B3_005,26,,,,,,,,RC9_461,NA
201602,142_001_G1_G,NA,Offspring,142,pond,B3_003,37,,,,,,,,RC8_011,NA
201602,142_001_G3_G,NA,Offspring,142,pond,B3_013,9,,,,,,,,RC8_062,NA
201602,142_001_G4_G,NA,Offspring,142,pond,B3_001,27,,,,,,,,RC8_069,NA
201602,142_001_G5_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC8_070,NA
201602,142_001_G6_G,NA,Offspring,142,pond,B3_005,26,,,,,,,,RC8_089,NA
201602,142_001_G7_G,NA,Offspring,142,pond,B3_020,7,,,,,,,,RC8_090,NA
201602,142_001_G9_G,NA,Offspring,142,pond,B3_015,35,,,,,,,,RC8_158,5.15
201602,142_001_H1_G,NA,Offspring,142,pond,B3_009,28,,,,,,,,RC8_217,NA
201602,142_001_H2_G,NA,Offspring,142,pond,B3_016,16,,,,,,,,RC8_270,NA
201602,142_001_H4_G,NA,Offspring,142,pond,B3_007,18,,,,,,,,RC8_338,NA
201602,142_001_H6_G,NA,Offspring,142,pond,B3_019,19,,,,,,,,RC8_339,NA
201602,142_001_H7_G,NA,Offspring,142,pond,B3_005,26,,,,,,,,RC8_372,NA
201602,142_001_H9_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC8_386,NA
201602,142_001_B11_G,NA,Offspring,142,pond,B3_003,37,,,,,,,,RC8_404,NA
201602,142_001_F11_G,NA,Offspring,142,pond,B3_005,26,,,,,,,,RC8_418,NA
201602,142_001_H11_G,NA,Offspring,142,pond,B3_020,7,,,,,,,,RC8_423,NA
G1T1701,149_001_A1_G,0,Offspring,149,pond,G1T1701_BR_139_MP__G1T1701_BR_042_P,63,,,,,,,,RC8_426,NA
G1T1701,149_001_A10_G,0,Offspring,149,pond,G1T1701_BR_182_MP__G1T1701_BR_023_P,38,,,,,,,,RC8_456,NA
G1T1701,149_001_A11_G,3.24,Offspring,149,pond,G1T1701_BR_048_P__G1T1701_BR_002_P,47,,,,,,,,RC8_481,5.67
G1T1701,149_001_A12_G,2.72,Offspring,149,pond,G1T1701_BR_049_GP__G1T1701_BR_003_P,48,,,,,,,,RC8_496,6.69
G1T1701,149_001_A2_G,0,Offspring,149,pond,G1T1701_BR_119_MP__G1T1701_BR_324_MP,70,,,,,,,,RC9_003,NA
