Cohort,PrawnID,GAV,Age,Class,FamID,IntFamID,GAVoffspringcount,,,IntFamID,GAVoffspringcount
201604,RC8_178_PL,7.26,larval,Offspring,B1_003,15,6,,,,
201604,243_01_C12G,4.56,pond,Offspring,B1_003,15,6,,,,
201604,244_01_D7G,5.66,pond,Offspring,B1_003,15,6,,,,
201604,201604BR282,4.73,broodstock,father,B1_025,16,7,,,,
201604,201604BR399,3.9,broodstock,mother,B1_025,16,7,,,,
201604,RC8_162_PL,7.36,larval,Offspring,B1_025,16,7,,,,
201604,RC8_105_PL,7.56,larval,Offspring,B1_025,16,7,,,,
201604,RC8_100_PL,7.95,larval,Offspring,B1_025,16,7,,,,
201604,RC8_519_PL,8,larval,Offspring,B1_025,16,7,,,,
201604,244_01_A7G,4.62,pond,Offspring,B1_025,16,7,,,,
201604,243_075P,NA,pond,Offspring,B1_025,16,7,,,,
201604,244_01_B12G,0,pond,Offspring,B1_025,16,7,,,,
201602,201604BR199,3.82,broodstock,father,B1_008,17,13,,,,
201602,RC8_121_PL,7.21,larval,Offspring,B1_008,17,13,,,,
201602,243_01_C5G,3.2,pond,Offspring,B1_008,17,13,,,,
201602,244_01_G11G,3.31,pond,Offspring,B1_008,17,13,,,,
201602,243_01_B9G,3.5,pond,Offspring,B1_008,17,13,,,,
201602,243_01_D3G,3.84,pond,Offspring,B1_008,17,13,,,,
201602,244_01_H7G,7.9,pond,Offspring,B1_008,17,13,,,,
201602,243_061P,NA,pond,Offspring,B1_008,17,13,,,,
201602,243_01_A9G,0,pond,Offspring,B1_008,17,13,,,,
201602,244_01_A10G,0,pond,Offspring,B1_008,17,13,,,,
201604,201604BR047,3.95,broodstock,mother,B1_008,17,13,,,,
201604,RC9_112_PL,8.15,larval,Offspring,B1_008,17,13,,,,
201604,RC8_525_PL,9.06,larval,Offspring,B1_008,17,13,,,,
201604,244_01_B11G,3.32,pond,Offspring,B1_008,17,13,,,,
201604,243_01_H7G,4.8,pond,Offspring,B1_008,17,13,,,,
201602,243_01_D12G,3.82,pond,Offspring,B1_016,18,8,,,,
201604,201604BR157,3.34,broodstock,father,B1_016,18,8,,,,
201604,201604BR074,4.09,broodstock,mother,B1_016,18,8,,,,
201604,RC8_540_PL,4.44,larval,Offspring,B1_016,18,8,,,,
201604,RC9_142_PL,4.84,larval,Offspring,B1_016,18,8,,,,
201604,RC9_211_PL,7.79,larval,Offspring,B1_016,18,8,,,,
201604,243_01_E6G,3.48,pond,Offspring,B1_016,18,8,,,,
201604,243_01_D11G,4.11,pond,Offspring,B1_016,18,8,,,,
201604,243_064P,NA,pond,Offspring,B1_016,18,8,,,,
201604,243_01_H8G,0,pond,Offspring,B1_016,18,8,,,,
201604,201604BR385,4.41,broodstock,father,B1_037,19,6,,,,
201604,201604BR515,1.58,broodstock,mother,B1_037,19,6,,,,
201604,RC8_125_PL,6.33,larval,Offspring,B1_037,19,6,,,,
201604,RC8_102_PL,6.59,larval,Offspring,B1_037,19,6,,,,
201604,RC8_167_PL,7.24,larval,Offspring,B1_037,19,6,,,,
201604,244_01_B7G,3.98,pond,Offspring,B1_037,19,6,,,,
201604,243_083P,NA,pond,Offspring,B1_037,19,6,,,,
201604,243_01_B8G,0,pond,Offspring,B1_037,19,6,,,,
201604,201604BR204,4.05,broodstock,father,B1_027,20,4,,,,
201604,201604BR414,4.18,broodstock,mother,B1_027,20,4,,,,
201604,RC8_539_PL,6.98,larval,Offspring,B1_027,20,4,,,,
201604,RC8_122_PL,7.11,larval,Offspring,B1_027,20,4,,,,
201604,RC8_112_PL,7.42,larval,Offspring,B1_027,20,4,,,,
201604,243_084P,NA,pond,Offspring,B1_027,20,4,,,,
201602,243_025P,NA,pond,Offspring,B1_023,21,8,,,,
201604,201604BR146,5.77,broodstock,father,B1_023,21,8,,,,
201604,201604BR116,0,broodstock,mother,B1_023,21,8,,,,
201604,RC8_511_PL,6.9,larval,Offspring,B1_023,21,8,,,,
201604,RC8_118_PL,7.22,larval,Offspring,B1_023,21,8,,,,
201604,243_006P,NA,pond,Offspring,B1_023,21,8,,,,
201604,243_031P,NA,pond,Offspring,B1_023,21,8,,,,
