Cohort,OffspringID,Offspringlggav,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamilyID,gavscreenlist,FamilyID,Offspring count,Pond count,Larval count
201604,136_001_G3_G,5.36,136,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,,,,
201604,136_001_G4_G,ND,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_G5_G,3.39,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,,,,
201604,136_001_G6_G,3.11,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,,,,
201604,136_001_G7_G,ND,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_G8_G,NA,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201604,136_001_G9_G,6.98,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_H10_G,ND,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,,,,
201604,136_001_H11_G,3.66,136,pond,201604BR261,NA,201604BR103,3.41,B2_020,n,,,,
201604,136_001_H2_G,ND,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_H3_G,ND,136,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,,,,
201604,136_001_H4_G,3.65,136,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,,,,
201604,136_001_H5_G,4.3,136,pond,201604BR261,NA,201604BR103,3.41,B2_020,n,,,,
201604,136_001_H6_G,4.83,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201604,136_001_H7_G,ND,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201604,136_001_H8_G,3.48,136,pond,201604BR323,5.47,201604BR429,0,B2_013,n,,,,
201604,136_001_H9_G,3.25,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201602,141_001_A10_G,ND,141,pond,201602BR121,NA,201602BR063,2.29,B3_013,n,,,,
201602,141_001_A11_G,ND,141,pond,201602BR102,3.57,201602BR075,2.43,B3_017,n,,,,
201602,141_001_A12_G,3.15,141,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,141_001_A2_G,3.11,141,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,141_001_A3_G,ND,141,pond,201602BR087,1.82,201602BR056,0,B3_011,n,,,,
201602,141_001_A4_G,ND,141,pond,201602BR126,NA,201602BR031,0,B3_023,n,,,,
201602,141_001_A5_G,ND,141,pond,201602BR110,0,201602BR054,2.22,B3_009,n,,,,
201602,141_001_A6_G,ND,141,pond,201602BR113,NA,201602BR026,0,B3_001,n,,,,
201602,141_001_A7_G,ND,141,pond,201602BR105,1.39,201602BR066,3.32,B3_014,n,,,,
201602,141_001_A8_G,3.14,141,pond,201602BR121,NA,201602BR063,2.29,B3_013,n,,,,
201602,141_001_A9_G,ND,141,pond,201602BR096,1.7,201602BR075,2.43,B3_016,n,,,,
201602,141_001_B1_G,ND,141,pond,201602BR096,1.7,201602BR075,2.43,B3_016,n,,,,
