Cohort,OffspringID,Plate no.,Well location,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamilyID
201604,RA4_467,5,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_019,1,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_051,1,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_054,1,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_058,1,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_066,1,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_077,1,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_083,1,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_090,1,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_091,1,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_106,2,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_115,2,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_120,2,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_142,2,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_175,2,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_191,3,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_230,3,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_238,3,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA5_254,3,,A5,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_043,1,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_044,1,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_047,1,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_055,1,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_069,1,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_071,1,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_097,2,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_098,2,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
201604,RA4_122,2,,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014
