Cohort,Code,Age,Class,PrawnID,GAV,FamID,IntFamID
201602,142,larval,Offspring,RC9_264_PL,7.22,B1_021,7
201604,parent,larval,Offspring,RC9_175_PL,7.25,B1_021,7
201602,142,larval,Offspring,RC9_256_PL,7.36,B1_021,7
201604,136,larval,Offspring,RC8_526_PL,7.38,B1_021,7
201604,135,larval,Offspring,RC9_252_PL,7.39,B1_021,7
201602,142,larval,Offspring,RC9_250_PL,7.41,B1_021,7
201604,parent,larval,Offspring,RC9_120_PL,7.54,B1_021,7
201604,136,pond,Offspring,243_036P,NA,B1_021,7
201604,136,pond,Offspring,243_093P,NA,B1_021,7
201604,parent,broodstock,mother,201604BR084,3.05,B1_019,8
201604,parent,broodstock,father,201604BR145,3.08,B1_019,8
201604,244,pond,Offspring,243_01_C9G,3.77,B1_019,8
201604,136,pond,Offspring,243_01_H5G,4.21,B1_019,8
201604,135,pond,Offspring,243_01_D9G,4.7,B1_019,8
201604,parent,pond,Offspring,244_01_A12G,4.77,B1_019,8
201604,parent,larval,Offspring,RC8_106_PL,6.03,B1_019,8
201604,243,larval,Offspring,RC8_550_PL,6.42,B1_019,8
201604,136,larval,Offspring,RC8_489_PL,6.93,B1_019,8
201604,C8,larval,Offspring,RC8_187_PL,7.13,B1_019,8
201604,parent,larval,Offspring,RC8_556_PL,7.15,B1_019,8
201604,243,larval,Offspring,RC8_120_PL,7.19,B1_019,8
201604,135,larval,Offspring,RC8_476_PL,7.21,B1_019,8
201604,244,larval,Offspring,RC8_501_PL,7.24,B1_019,8
201604,243,larval,Offspring,RC8_145_PL,7.43,B1_019,8
201604,136,larval,Offspring,RC8_177_PL,7.59,B1_019,8
201604,parent,broodstock,mother,201604BR021,3.01,B1_006,9
201604,135,pond,Offspring,244_01_B8G,3.67,B1_006,9
201604,parent,broodstock,father,201604BR158,4.56,B1_006,9
201604,parent,larval,Offspring,RC9_153_PL,6.26,B1_006,9
201604,parent,larval,Offspring,RC9_282_PL,6.68,B1_006,9
201604,135,larval,Offspring,RC9_278_PL,6.82,B1_006,9
201604,136,larval,Offspring,RC8_517_PL,6.96,B1_006,9
201604,135,larval,Offspring,RC9_227_PL,7.18,B1_006,9
201602,141,larval,Offspring,RC9_269_PL,7.22,B1_006,9
201604,parent,larval,Offspring,RC9_179_PL,7.24,B1_006,9
