Cohort,Code,Age,Class,PrawnID,GAV,FamID,
201604,136,pond,Offspring,201604_135_001_A10_G,0.00,B2_007,
201604,C9,pond,Offspring,201604_136_001_E2_G,0.00,B2_007,
201604,C9,pond,Offspring,201604_136_001_F1_G,0.00,B2_007,
201604,C9,pond,Offspring,201604_136_001_H10_G,0.00,B2_007,
201604,C8,broodstock,mother,201604BR119,4.00,B2_008,
201604,C8,broodstock,father,201604BR223,NA,B2_008,
201604,C9,pond,Offspring,201604_135_001_A7_G,2.96,B2_009,
201604,C8,broodstock,father,201604BR231,3.15,B2_009,
201604,C8,pond,Offspring,201604_135_001_E1_G,3.46,B2_009,
201604,C9,pond,Offspring,201604_135_001_C12_G,3.91,B2_009,
201604,C9,broodstock,mother,201604BR074,4.09,B2_009,
201604,C8,pond,Offspring,201604_136_001_B6_G,7.28,B2_009,
201604,C9,pond,Offspring,201604_135_001_D4_G,0.00,B2_009,
201604,C9,pond,Offspring,201604_135_001_C9_G,2.98,B2_010,
201604,C8,pond,Offspring,201604_135_001_H9_G,3.14,B2_010,
201604,C9,broodstock,father,201604BR231,3.15,B2_010,
201604,C8,pond,Offspring,201604_135_001_E5_G,3.38,B2_010,
201604,C9,pond,Offspring,201604_135_001_B7_G,3.38,B2_010,
201604,C8,pond,Offspring,201604_136_001_H4_G,3.65,B2_010,
201604,C8,broodstock,mother,201604BR094,3.71,B2_010,
201604,C9,pond,Offspring,201604_136_001_C7_G,3.74,B2_010,
