PrawnID,GAV,Class,Family ID,,,Family,,Offspring count
G1T1701_149_001_A3_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,
G1T1701_149_001_A5_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_001_A7_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_001_B1_G,0.00,Offspring,G1T1701_BR_050_GP__G1T1701_BR_002_P,,,,,
G1T1701_149_001_B11_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_001_B12_G,0.00,Offspring,G1T1701_BR_057_GP__G1T1701_BR_014_P,,,,,
G1T1701_149_001_B7_G,0.00,Offspring,G1T1701_BR_067_GP__G1T1701_BR_038_P,,,,,
G1T1701_149_001_C4_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_001_C5_G,0.00,Offspring,G1T1701_BR_067_GP__G1T1701_BR_038_P,,,,,
G1T1701_149_001_C6_G,0.00,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,
G1T1701_149_001_C7_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_001_C9_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_001_D3_G,0.00,Offspring,G1T1701_BR_050_GP__G1T1701_BR_002_P,,,,,
G1T1701_149_001_D9_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,
G1T1701_149_001_E12_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_001_E3_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,
G1T1701_149_001_F1_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,
G1T1701_149_001_F3_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_001_F5_G,0.00,Offspring,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,
G1T1701_149_001_F6_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_001_F7_G,0.00,Offspring,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,
G1T1701_149_001_F9_G,0.00,Offspring,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,
G1T1701_149_001_G1_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_001_G11_G,0.00,Offspring,G1T1701_BR_067_GP__G1T1701_BR_037_P,,,,,
G1T1701_149_001_G4_G,0.00,Offspring,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,
