 ID,GAV,Family ID,Class
G1T1701_149_003_D5_G,NA,3,Offspring
G1T1701_149_004_B5_G,NA,3,Offspring
G1T1701_149_004_C4_G,175.44,3,Offspring
G1T1701_149_004_D8_G,NA,3,Offspring
G1T1701_149_004_E8_G,NA,3,Offspring
G1T1701_149_004_F10_G,NA,3,Offspring
G1T1701_149_004_F11_G,NA,3,Offspring
G1T1701_149_004_G4_G,11318.21,3,Offspring
G1T1701_149_005_C12_G,5803.29,3,Offspring
G1T1701_149_005_C8_G,NA,3,Offspring
G1T1701_149_005_D12_G,NA,3,Offspring
G1T1701_149_005_D7_G,NA,3,Offspring
G1T1701_149_005_E4_G,189504.14,3,Offspring
G1T1701_149_005_F3_G,NA,3,Offspring
G1T1701_149_005_H8_G,669.83,3,Offspring
G1T1701_149_005_H9_G,676.6,3,Offspring
G1T1701_149_001_A11_G,1753.74,4,Offspring
G1T1701_149_001_A6_G,238.02,4,Offspring
G1T1701_149_001_F2_G,121.89,4,Offspring
G1T1701_149_001_G4_G,NA,4,Offspring
G1T1701_149_001_H10_G,59351.97,4,Offspring
G1T1701_149_002_A8_G,NA,4,Offspring
G1T1701_149_002_A9_G,282.81,4,Offspring
G1T1701_149_002_B1_G,740.76,4,Offspring
G1T1701_149_002_E10_G,542.76,4,Offspring
G1T1701_149_002_E3_G,304.47,4,Offspring
G1T1701_149_003_A2_G,NA,4,Offspring
G1T1701_149_003_B10_G,68.71,4,Offspring
G1T1701_149_003_D3_G,NA,4,Offspring
G1T1701_149_003_E12_G,NA,4,Offspring
G1T1701_149_004_C3_G,NA,4,Offspring
G1T1701_149_004_F9_G,NA,4,Offspring
G1T1701_149_005_D2_G,962.95,4,Offspring
G1T1701_149_005_E11_G,NA,4,Offspring
G1T1701_149_005_G6_G,NA,4,Offspring
G1T1701_149_001_B10_G,15.96,5,Offspring
G1T1701_149_001_C10_G,98.16,5,Offspring
G1T1701_149_001_D5_G,28.24,5,Offspring
G1T1701_149_002_F10_G,NA,5,Offspring
G1T1701_149_002_H1_G,595667.77,5,Offspring
G1T1701_149_003_F6_G,NA,5,Offspring
G1T1701_149_003_G3_G,NA,5,Offspring
G1T1701_149_003_H11_G,6852.2,5,Offspring
G1T1701_149_004_C11_G,NA,5,Offspring
G1T1701_149_004_D12_G,NA,5,Offspring
G1T1701_149_004_D6_G,NA,5,Offspring
G1T1701_149_004_E2_G,NA,5,Offspring
G1T1701_149_004_F12_G,NA,5,Offspring
G1T1701_149_004_G3_G,22632.26,5,Offspring
G1T1701_149_005_D3_G,22804.61,5,Offspring
G1T1701_149_005_E1_G,13133.63,5,Offspring
G1T1701_149_005_F8_G,NA,5,Offspring
G1T1701_149_005_G3_G,23142.36,5,Offspring
G1T1701_149_001_A3_G,NA,6,Offspring
G1T1701_149_001_B2_G,11.63,6,Offspring
G1T1701_149_001_D9_G,NA,6,Offspring
G1T1701_149_001_F1_G,NA,6,Offspring
G1T1701_149_002_A5_G,NA,6,Offspring
G1T1701_149_002_B8_G,147.99,6,Offspring
G1T1701_149_002_D1_G,112.26,6,Offspring
G1T1701_149_002_E11_G,NA,6,Offspring
G1T1701_149_002_F9_G,NA,6,Offspring
G1T1701_149_002_G5_G,1235.16,6,Offspring
G1T1701_149_003_D11_G,NA,6,Offspring
G1T1701_149_003_F10_G,NA,6,Offspring
G1T1701_149_004_B2_G,NA,6,Offspring
G1T1701_149_004_D9_G,NA,6,Offspring
G1T1701_149_005_A1_G,NA,6,Offspring
G1T1701_149_005_E12_G,NA,6,Offspring
G1T1701_149_001_E6_G,283.9,7,Offspring
G1T1701_149_001_F8_G,25.61,7,Offspring
G1T1701_149_001_F9_G,NA,7,Offspring
G1T1701_149_002_C1_G,NA,7,Offspring
G1T1701_149_002_C3_G,1001329.61,7,Offspring
G1T1701_149_002_C7_G,896.25,7,Offspring
G1T1701_149_002_C8_G,NA,7,Offspring
G1T1701_149_002_D3_G,1.05E+03,7,Offspring
G1T1701_149_002_D9_G,NA,7,Offspring
G1T1701_149_002_G11_G,1.27E+02,7,Offspring
G1T1701_149_004_D1_G,NA,7,Offspring
G1T1701_149_004_D4_G,NA,7,Offspring
G1T1701_149_004_E11_G,NA,7,Offspring
G1T1701_149_005_F4_G,NA,7,Offspring
G1T1701_149_001_A12_G,525.89,8,Offspring
G1T1701_149_001_C6_G,NA,8,Offspring
G1T1701_149_001_D10_G,27.64,8,Offspring
G1T1701_149_001_H8_G,NA,8,Offspring
G1T1701_149_002_B12_G,391.14,8,Offspring
G1T1701_149_002_D5_G,149.73,8,Offspring
G1T1701_149_002_E9_G,NA,8,Offspring
G1T1701_149_003_D9_G,NA,8,Offspring
G1T1701_149_004_A12_G,NA,8,Offspring
G1T1701_149_004_C2_G,1133.78,8,Offspring
G1T1701_149_004_D7_G,NA,8,Offspring
G1T1701_149_005_F12_G,201.56,8,Offspring
G1T1701_149_005_H6_G,154084.62,8,Offspring
G1T1701_149_001_D11_G,8.93E+01,9,Offspring
G1T1701_149_001_G11_G,NA,9,Offspring
G1T1701_149_002_C5_G,NA,9,Offspring
G1T1701_149_003_A8_G,5.24E+01,9,Offspring
G1T1701_149_003_E9_G,3.37E+01,9,Offspring
G1T1701_149_004_A1_G,NA,9,Offspring
G1T1701_149_004_A9_G,NA,9,Offspring
G1T1701_149_004_B9_G,NA,9,Offspring
G1T1701_149_004_H11_G,NA,9,Offspring
G1T1701_149_005_C4_G,NA,9,Offspring
G1T1701_149_005_D5_G,NA,9,Offspring
G1T1701_149_005_H10_G,7.31E+01,9,Offspring
G1T1701_149_005_H11_G,5.24E+01,9,Offspring
G1T1701_149_001_D12_G,1.30E+05,10,Offspring
G1T1701_149_001_H4_G,1.07E+01,10,Offspring
G1T1701_149_002_A10_G,9.99E+01,10,Offspring
G1T1701_149_002_F4_G,5.57E+05,10,Offspring
G1T1701_149_002_G1_G,3.52E+02,10,Offspring
G1T1701_149_003_B3_G,NA,10,Offspring
G1T1701_149_003_E11_G,NA,10,Offspring
G1T1701_149_003_E3_G,NA,10,Offspring
G1T1701_149_003_H7_G,4.88E+01,10,Offspring
G1T1701_149_004_A3_G,NA,10,Offspring
G1T1701_149_004_E6_G,NA,10,Offspring
G1T1701_149_004_G1_G,NA,10,Offspring
G1T1701_149_005_D4_G,2.41E+04,10,Offspring
G1T1701_149_001_A2_G,NA,11,Offspring
G1T1701_149_001_D1_G,9601,11,Offspring
G1T1701_149_002_B10_G,134837.66,11,Offspring
G1T1701_149_002_B7_G,79650.92,11,Offspring
G1T1701_149_002_D7_G,33469.44,11,Offspring
G1T1701_149_003_H1_G,75.34,11,Offspring
G1T1701_149_004_C8_G,NA,11,Offspring
G1T1701_149_004_D11_G,NA,11,Offspring
G1T1701_149_004_D2_G,142640.78,11,Offspring
G1T1701_149_004_E10_G,NA,11,Offspring
G1T1701_149_005_B1_G,21852.07,11,Offspring
G1T1701_149_005_C7_G,5943.18,11,Offspring
G1T1701_149_001_E2_G,15.85,12,Offspring
G1T1701_149_001_F11_G,30.92,12,Offspring
G1T1701_149_001_H11_G,NA,12,Offspring
G1T1701_149_002_C2_G,NA,12,Offspring
G1T1701_149_002_F12_G,817.41,12,Offspring
G1T1701_149_003_C12_G,NA,12,Offspring
G1T1701_149_003_D6_G,NA,12,Offspring
G1T1701_149_003_G5_G,NA,12,Offspring
