Cohort,Pond,Class,Prawn ID,log10GAV,FamilyID,,IntFamID,FamilyID,FamIntID,FatherGAVld,MotherGAVld,Mean Parent Load,Offspringcount,Offspring GAV+ve,Gav+ve(%),Offspring GAV -ve,GAV -ve (%),Offspringmeanld,Maxld,Minld
G1T1701,BR,Father,G1T1701_BR_048_P,5.16,G1T1701_BR_048_P__G1T1701_BR_001_P,,FAM_82,G1T1701_BR_182_MP__G1T1701_BR_023_P,78,nd,NA,NA,64,21,33,43,67,0.6,4.96,0
G1T1701,BR,Father,G1T1701_BR_048_P,5.16,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_049_GP,nd,G1T1701_BR_049_GP__G1T1701_BR_001_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_049_GP,nd,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_053_GP,4.78,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_053_GP,4.78,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_064_P,3.5,G1T1701_BR_064_P__G1T1701_BR_031_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_064_P,3.5,G1T1701_BR_064_P__G1T1701_BR_033_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_067_GP,5.32,G1T1701_BR_067_GP__G1T1701_BR_037_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_067_GP,5.32,G1T1701_BR_067_GP__G1T1701_BR_038_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_068_P,6.61,G1T1701_BR_068_P__G1T1701_BR_017_P,,,,,,,,,,,,,,,
